"","Industry","Data","Total","0-4","5-9","10-19","20-49","50-99","100-249","250-499","500-999","1000","Year"
"53","Construction","No. of Employees",76578,5532,6816,9770,15468,14568,13957,7548,2919,0,2002-01-01
"54","Construction","Payroll (in thousands)",763386,46600,55477,91440,156487,149749,146876,82524,34233,NA,2002-01-01
"55","Manufacturing","No. of Businesses",3695,1506,680,559,504,219,160,39,19,9,2002-01-01
"56","Manufacturing","No. of Employees",112416,2663,4561,7617,15624,15254,23834,12625,13699,16539,2002-01-01
"57","Manufacturing","Payroll (in thousands)",1368319,22899,38286,70091,155442,170026,285235,136896,216457,272988,2002-01-01
"58","Wholesale Trade","No. of Businesses",3804,2113,740,491,319,89,46,NA,NA,0,2002-01-01
"59","Wholesale Trade","No. of Employees",40148,3527,4909,6659,9669,6050,7050,NA,NA,0,2002-01-01
"60","Wholesale Trade","Payroll (in thousands)",480883,42414,48591,74750,114749,68730,90962,NA,NA,NA,2002-01-01
"61","Retail Trade","No. of Businesses",8714,3812,2106,1367,835,339,200,47,8,0,2002-01-01
"62","Retail Trade","No. of Employees",138387,7238,14193,18087,25648,23180,29822,14930,5289,0,2002-01-01
"63","Retail Trade","Payroll (in thousands)",913923,42088,76847,101356,163947,175608,227712,84033,42332,NA,2002-01-01
"64","Transportation and Warehousing","No. of Businesses",1269,639,226,168,149,48,26,10,NA,NA,2002-01-01
"65","Transportation and Warehousing","No. of Employees",23887,977,1497,2325,4504,3362,3726,3287,NA,NA,2002-01-01
"66","Transportation and Warehousing","Payroll (in thousands)",182088,6794,10925,18558,37025,25090,25299,28853,NA,NA,2002-01-01
"67","Information","No. of Businesses",1358,717,222,166,124,60,43,16,3,7,2002-01-01
"68","Information","No. of Employees",36474,1018,1467,2306,3762,4100,6465,5701,2338,9317,2002-01-01
"69","Information","Payroll (in thousands)",557107,13208,17878,28425,56007,61124,83239,107706,55648,133873,2002-01-01
"70","Finance and Insurance","No. of Businesses",3892,2373,591,514,274,75,41,18,3,3,2002-01-01
"71","Finance and Insurance","No. of Employees",46955,3714,3946,7042,7883,5348,6156,6582,1818,4466,2002-01-01
"72","Finance and Insurance","Payroll (in thousands)",670323,48742,49107,87017,118191,77394,93505,123610,23327,49431,2002-01-01
"73","Real Estate and Rental and Leasing","No. of Businesses",4340,3003,701,412,153,40,NA,3,NA,0,2002-01-01
"74","Real Estate and Rental and Leasing","No. of Employees",27654,4784,4575,5437,4691,2660,NA,977,NA,0,2002-01-01
"75","Real Estate and Rental and Leasing","Payroll (in thousands)",234147,43273,34368,42625,43886,24587,NA,5582,NA,NA,2002-01-01
"76","Services","No. of Businesses",44199,29818,5580,3843,3071,1106,564,147,43,27,2002-01-01
"77","Services","No. of Employees",505061,37600,36855,52393,92366,76804,85915,49726,28404,44998,2002-01-01
"78","Services","Payroll (in thousands)",4103955,292466,287406,393759,672921,588304,776848,427306,260250,404695,2002-01-01
"79","Total","No. of Businesses",82367,51680,12257,8382,6203,2142,1245,313,93,52,2003-01-01
"80","Total","No. of Employees",1043426,71377,81396,112586,183158,141061,184392,94725,59236,82100,2003-01-01
"81","Total","Payroll (in thousands)",10036122,610365,661604,961981,1584296,1259920,1804627,981269,759836,1042296,2003-01-01
"82","Agriculture","No. of Businesses",860,510,142,NA,66,30,11,4,NA,NA,2003-01-01
"83","Agriculture","No. of Employees",11382,747,963,NA,2037,2017,1672,1246,NA,NA,2003-01-01
"84","Agriculture","Payroll (in thousands)",66324,4253,5408,NA,11045,12617,12318,6004,NA,NA,2003-01-01
"85","Mining","No. of Businesses",31,22,4,NA,NA,NA,NA,NA,NA,NA,2003-01-01
"86","Mining","No. of Employees",339,35,26,NA,NA,NA,NA,NA,NA,NA,2003-01-01
"87","Mining","Payroll (in thousands)",4693,347,392,NA,NA,NA,NA,NA,NA,NA,2003-01-01
"88","Utilities","No. of Businesses",78,33,7,11,12,NA,NA,NA,NA,NA,2003-01-01
"89","Utilities","No. of Employees",6198,67,42,160,351,NA,NA,NA,NA,NA,2003-01-01
"90","Utilities","Payroll (in thousands)",98919,680,282,1899,4762,NA,NA,NA,NA,NA,2003-01-01
"91","Construction","No. of Businesses",6341,3709,1024,745,516,209,105,NA,4,NA,2003-01-01
"92","Construction","No. of Employees",81982,5629,6671,10262,15976,14481,14957,NA,2883,NA,2003-01-01
"93","Construction","Payroll (in thousands)",831110,47160,55967,97160,165655,149063,164466,NA,42286,NA,2003-01-01
"94","Manufacturing","No. of Businesses",3596,1514,645,552,476,209,138,38,14,10,2003-01-01
"95","Manufacturing","No. of Employees",105442,2653,4363,7616,14649,14270,20830,12740,10420,17901,2003-01-01
"96","Manufacturing","Payroll (in thousands)",1356054,29650,38048,71599,148224,163326,255088,149766,191446,308907,2003-01-01
"97","Wholesale Trade","No. of Businesses",3927,2237,752,474,329,NA,39,7,NA,NA,2003-01-01
"98","Wholesale Trade","No. of Employees",40267,3759,4965,6399,9984,NA,5761,2134,NA,NA,2003-01-01
"99","Wholesale Trade","Payroll (in thousands)",499982,45558,49953,75472,114503,NA,76907,45050,NA,NA,2003-01-01
"100","Retail Trade","No. of Businesses",8817,3896,2130,1320,879,329,204,51,8,NA,2003-01-01
"101","Retail Trade","No. of Employees",140786,7153,14254,17515,26962,22168,31026,16263,5445,NA,2003-01-01
"102","Retail Trade","Payroll (in thousands)",954242,45747,78766,101430,170568,170484,242859,98444,45945,NA,2003-01-01
"103","Transportation and Warehousing","No. of Businesses",1296,686,213,167,NA,52,27,8,NA,NA,2003-01-01
"104","Transportation and Warehousing","No. of Employees",21258,1024,1414,2358,NA,3577,4030,2423,NA,NA,2003-01-01
"105","Transportation and Warehousing","Payroll (in thousands)",173954,7156,10267,19342,NA,27849,27846,23406,NA,NA,2003-01-01
"106","Information","No. of Businesses",1371,735,223,150,141,59,38,10,8,7,2003-01-01
"107","Information","No. of Employees",36980,1043,1497,2058,4317,4283,5994,3270,5471,9047,2003-01-01
"108","Information","Payroll (in thousands)",720491,12612,17712,28162,53864,63119,88069,73521,147462,235971,2003-01-01
"109","Finance and Insurance","No. of Businesses",4162,2469,668,565,306,75,51,20,5,3,2003-01-01
"110","Finance and Insurance","No. of Employees",52238,3840,4494,7678,8647,4954,7586,6807,3323,4909,2003-01-01
"111","Finance and Insurance","Payroll (in thousands)",795598,54358,58823,112386,151373,83310,126807,99651,41424,67467,2003-01-01
"112","Real Estate and Rental and Leasing","No. of Businesses",4575,3214,720,393,171,44,28,5,NA,NA,2003-01-01
"113","Real Estate and Rental and Leasing","No. of Employees",29087,4976,4788,5153,5213,2901,4261,1795,NA,NA,2003-01-01
"114","Real Estate and Rental and Leasing","Payroll (in thousands)",257445,46382,39331,40579,51416,28196,36670,14872,NA,NA,2003-01-01
"115","Services","No. of Businesses",47313,32655,5729,3909,3164,1046,595,139,47,29,2003-01-01
"116","Services","No. of Employees",517467,40451,37919,53390,95025,72413,88277,48050,31697,50245,2003-01-01
"117","Services","Payroll (in thousands)",4277308,316461,306655,413955,712889,561961,773599,470559,291276,429952,2003-01-01
"118","Total","No. of Businesses",84373,53118,12367,8690,6293,2158,1298,297,100,52,2004-01-01
"119","Total","No. of Employees",1063479,72178,82210,118340,186447,145700,191848,92215,59237,83282,2004-01-01
"120","Total","Payroll (in thousands)",10747213,653324,705557,1013139,1675933,1363196,1949373,1005638,847180,1147364,2004-01-01
"121","Agriculture","No. of Businesses",833,496,137,82,74,27,12,NA,NA,NA,2004-01-01
"122","Agriculture","No. of Employees",11194,763,904,1170,2195,1896,1946,NA,NA,NA,2004-01-01
"123","Agriculture","Payroll (in thousands)",69563,4641,5127,6413,13371,13872,12825,NA,NA,NA,2004-01-01
"124","Mining","No. of Businesses",33,20,6,3,NA,NA,NA,NA,NA,NA,2004-01-01
"125","Mining","No. of Employees",421,26,39,45,NA,NA,NA,NA,NA,NA,2004-01-01
"126","Mining","Payroll (in thousands)",6483,295,382,713,NA,NA,NA,NA,NA,NA,2004-01-01
"127","Utilities","No. of Businesses",76,28,10,11,14,NA,NA,NA,NA,NA,2004-01-01
"128","Utilities","No. of Employees",4667,56,61,150,406,NA,NA,NA,NA,NA,2004-01-01
"129","Utilities","Payroll (in thousands)",67581,425,592,1889,6007,NA,NA,NA,NA,NA,2004-01-01
"130","Construction","No. of Businesses",6670,3753,1133,818,598,202,141,18,NA,NA,2004-01-01
"131","Construction","No. of Employees",90700,5817,7489,11246,18313,13525,20486,6121,NA,NA,2004-01-01
"132","Construction","Payroll (in thousands)",962295,55703,67003,110151,189674,148965,227646,78437,NA,NA,2004-01-01
"133","Manufacturing","No. of Businesses",3511,1490,610,548,467,188,142,41,15,10,2004-01-01
"134","Manufacturing","No. of Employees",105011,2585,4117,7621,14507,13118,20853,13471,10540,18199,2004-01-01
"135","Manufacturing","Payroll (in thousands)",1455663,25142,37827,74403,155906,163917,268191,157627,262249,310400,2004-01-01
"136","Wholesale Trade","No. of Businesses",3986,2337,708,471,325,96,43,NA,NA,NA,2004-01-01
"137","Wholesale Trade","No. of Employees",40830,3948,4781,6362,9650,6600,6672,NA,NA,NA,2004-01-01
"138","Wholesale Trade","Payroll (in thousands)",534083,52380,56747,71261,118182,85167,95502,NA,NA,NA,2004-01-01
"139","Retail Trade","No. of Businesses",8708,3739,2088,1380,901,330,208,56,6,NA,2004-01-01
"140","Retail Trade","No. of Employees",143800,6926,13987,18305,27641,23088,31663,17877,4313,NA,2004-01-01
"141","Retail Trade","Payroll (in thousands)",996978,44121,80514,112988,185020,179374,240852,111757,42352,NA,2004-01-01
"142","Transportation and Warehousing","No. of Businesses",1308,687,214,168,152,46,30,NA,NA,NA,2004-01-01
"143","Transportation and Warehousing","No. of Employees",21867,1060,1377,2257,4750,3168,4244,NA,NA,NA,2004-01-01
"144","Transportation and Warehousing","Payroll (in thousands)",191814,7919,10417,17587,42671,28072,32940,NA,NA,NA,2004-01-01
"145","Information","No. of Businesses",1318,709,208,156,NA,NA,40,12,7,7,2004-01-01
"146","Information","No. of Employees",36856,1044,1389,2102,NA,NA,6191,4032,4722,9708,2004-01-01
"147","Information","Payroll (in thousands)",814850,15443,16490,28258,NA,NA,92081,99143,147559,311249,2004-01-01
"148","Finance and Insurance","No. of Businesses",4266,2536,700,557,326,76,48,14,6,3,2004-01-01
"149","Finance and Insurance","No. of Employees",51036,4075,4757,7660,9207,5101,7629,4847,3520,4240,2004-01-01
"150","Finance and Insurance","Payroll (in thousands)",773541,57504,60414,103262,152702,89309,131397,76267,40273,62414,2004-01-01
"151","Real Estate and Rental and Leasing","No. of Businesses",4725,3393,666,407,180,48,25,NA,NA,NA,2004-01-01
"152","Real Estate and Rental and Leasing","No. of Employees",29053,5175,4362,5292,5262,3230,3534,NA,NA,NA,2004-01-01
"153","Real Estate and Rental and Leasing","Payroll (in thousands)",281822,54789,38845,43998,63237,33471,34446,NA,NA,NA,2004-01-01
"154","Services","No. of Businesses",48939,33930,5887,4089,3129,1090,599,133,53,29,2004-01-01
"155","Services","No. of Employees",528044,40703,38947,56130,94516,75974,88630,45867,36142,51135,2004-01-01
"156","Services","Payroll (in thousands)",4592540,334962,331201,442217,749163,621049,813494,482406,354748,463301,2004-01-01
"157","Total","No. of Businesses",85540,53569,12719,8777,6474,2171,1369,319,88,54,2005-01-01
"158","Total","No. of Employees",1086735,73437,84665,119351,195491,149769,205548,107890,61789,88795,2005-01-01
"159","Total","Payroll (in thousands)",11838582,701126,761162,1087659,1908486,1513933,2353144,1208934,815115,1489023,2005-01-01
"160","Agriculture","No. of Businesses",769,465,118,72,74,22,13,NA,NA,NA,2005-01-01
"161","Agriculture","No. of Employees",10825,750,797,1000,2263,1526,1926,NA,NA,NA,2005-01-01
"162","Agriculture","Payroll (in thousands)",71797,5213,5391,6343,14680,11309,14009,NA,NA,NA,2005-01-01
"163","Mining","No. of Businesses",32,24,NA,NA,3,NA,NA,NA,NA,NA,2005-01-01
"164","Mining","No. of Employees",440,39,NA,NA,123,NA,NA,NA,NA,NA,2005-01-01
"165","Mining","Payroll (in thousands)",6731,600,NA,NA,1769,NA,NA,NA,NA,NA,2005-01-01
"166","Utilities","No. of Businesses",73,31,11,8,11,NA,NA,NA,NA,NA,2005-01-01
"167","Utilities","No. of Employees",4609,57,66,124,371,NA,NA,NA,NA,NA,2005-01-01
"168","Utilities","Payroll (in thousands)",82784,477,950,2034,6516,NA,NA,NA,NA,NA,2005-01-01
"169","Construction","No. of Businesses",6783,3685,1253,841,642,197,132,28,NA,NA,2005-01-01
"170","Construction","No. of Employees",93483,6003,8304,11451,19536,13709,19662,9600,NA,NA,2005-01-01
"171","Construction","Payroll (in thousands)",1084636,61805,79298,120071,230657,157164,258352,126747,NA,NA,2005-01-01
"172","Manufacturing","No. of Businesses",3332,1340,602,522,480,183,145,34,14,12,2005-01-01
"173","Manufacturing","No. of Employees",103757,2422,4047,7101,14659,12881,21563,11260,9770,20054,2005-01-01
"174","Manufacturing","Payroll (in thousands)",1497783,34162,38477,72031,172158,169967,313867,135945,172912,388265,2005-01-01
"175","Wholesale Trade","No. of Businesses",3996,2297,739,476,332,94,46,9,3,NA,2005-01-01
"176","Wholesale Trade","No. of Employees",43374,3936,4940,6453,9963,6479,6617,2757,2229,NA,2005-01-01
"177","Wholesale Trade","Payroll (in thousands)",588304,49876,58106,75348,130570,87731,99650,41724,45300,NA,2005-01-01
"178","Retail Trade","No. of Businesses",8617,3574,2114,1372,916,338,241,57,5,NA,2005-01-01
"179","Retail Trade","No. of Employees",148265,6844,14149,18272,27879,23267,36275,17913,3666,NA,2005-01-01
"180","Retail Trade","Payroll (in thousands)",1076682,46720,85903,116725,194589,184468,295778,122714,29786,NA,2005-01-01
"181","Transportation and Warehousing","No. of Businesses",1274,643,239,161,142,52,27,NA,NA,NA,2005-01-01
"182","Transportation and Warehousing","No. of Employees",21872,1033,1585,2239,4357,3587,4097,NA,NA,NA,2005-01-01
"183","Transportation and Warehousing","Payroll (in thousands)",201876,8031,12700,18957,42474,34032,33775,NA,NA,NA,2005-01-01
