"","Industry","Data","Total","0-4","5-9","10-19","20-49","50-99","100-249","250-499","500-999","1000","Year"
"260","Transportation and Warehousing","No. of Employees",21949,1054,1607,2491,4493,3355,4092,2381,NA,NA,2007-01-01
"261","Transportation and Warehousing","Payroll (in thousands)",216270,9342,12904,21499,43856,33025,33006,27683,NA,NA,2007-01-01
"262","Information","No. of Businesses",1274,680,187,152,135,57,41,7,9,6,2007-01-01
"263","Information","No. of Employees",37958,1001,1228,2080,4118,4056,6500,2322,6360,10293,2007-01-01
"264","Information","Payroll (in thousands)",844098,15805,17652,30376,61239,57486,114832,64428,136846,345434,2007-01-01
"265","Finance and Insurance","No. of Businesses",4789,2963,797,569,316,71,NA,12,4,NA,2007-01-01
"266","Finance and Insurance","No. of Employees",49289,4234,5309,7603,9247,4678,NA,4612,2291,NA,2007-01-01
"267","Finance and Insurance","Payroll (in thousands)",831237,66581,72243,118175,169322,91358,NA,83412,45032,NA,2007-01-01
"268","Real Estate and Rental and Leasing","No. of Businesses",5033,3692,758,338,169,39,29,5,3,NA,2007-01-01
"269","Real Estate and Rental and Leasing","No. of Employees",30241,5057,5013,4542,4991,2767,4492,1836,1543,NA,2007-01-01
"270","Real Estate and Rental and Leasing","Payroll (in thousands)",321501,53977,46612,46510,63033,35654,46407,20195,9114,NA,2007-01-01
"271","Services","No. of Businesses",53940,37740,6306,4446,3385,1170,650,164,51,28,2007-01-01
"272","Services","No. of Employees",567912,44404,41626,60854,101374,80614,97351,55915,37114,48660,2007-01-01
"273","Services","Payroll (in thousands)",5693222,400779,383479,561892,903156,745433,1008077,660787,445500,584119,2007-01-01
"274","Total","No. of Businesses",92786,60391,12908,9057,6381,2310,1280,312,93,54,2008-01-01
"275","Total","No. of Employees",1092928,77335,85779,122599,191017,159068,189583,107845,67236,92466,2008-01-01
"276","Total","Payroll (in thousands)",12926424,763836,831851,1185562,1981503,1689025,2228682,1379855,1015091,1851019,2008-01-01
"277","Agriculture","No. of Businesses",732,428,109,74,NA,29,16,NA,NA,NA,2008-01-01
"278","Agriculture","No. of Employees",11097,636,732,998,NA,1971,2303,NA,NA,NA,2008-01-01
"279","Agriculture","Payroll (in thousands)",77548,5036,4773,6720,NA,14740,16160,NA,NA,NA,2008-01-01
"280","Utilities","No. of Businesses",79,30,12,7,11,5,8,NA,NA,NA,2008-01-01
"281","Utilities","No. of Employees",6923,58,75,96,345,311,1308,NA,NA,NA,2008-01-01
"282","Utilities","Payroll (in thousands)",152038,740,2247,1515,8290,10845,28377,NA,NA,NA,2008-01-01
"283","Construction and Mining","No. of Businesses",7028,4115,1220,814,575,196,83,22,3,NA,2008-01-01
"284","Construction and Mining","No. of Employees",76146,5894,7937,10959,17182,13167,11457,7414,2136,NA,2008-01-01
"285","Construction and Mining","Payroll (in thousands)",990936,62137,80854,129280,219818,183089,159492,117285,38982,NA,2008-01-01
"286","Manufacturing","No. of Businesses",3128,1281,532,499,437,183,137,32,14,13,2008-01-01
"287","Manufacturing","No. of Employees",102121,2263,3549,6818,13511,12884,20726,10755,9696,21919,2008-01-01
"288","Manufacturing","Payroll (in thousands)",1594104,24124,39023,75394,172839,171638,289300,154014,188245,479527,2008-01-01
"289","Wholesale Trade","No. of Businesses",4126,2410,770,458,324,100,50,10,4,NA,2008-01-01
"290","Wholesale Trade","No. of Employees",44919,4118,5167,6161,9522,6860,7324,3008,2759,NA,2008-01-01
"291","Wholesale Trade","Payroll (in thousands)",671093,56953,66166,83630,135692,105004,115686,48330,59633,NA,2008-01-01
"292","Retail Trade","No. of Businesses",8598,3591,2079,1416,882,370,203,NA,NA,NA,2008-01-01
"293","Retail Trade","No. of Employees",141129,6840,13948,18886,26649,26234,29397,NA,NA,NA,2008-01-01
"294","Retail Trade","Payroll (in thousands)",1027656,53852,87047,119682,185778,192834,235633,NA,NA,NA,2008-01-01
"295","Transportation and Warehousing","No. of Businesses",1340,702,219,188,141,54,27,6,3,NA,2008-01-01
"296","Transportation and Warehousing","No. of Employees",22150,1149,1493,2464,4390,3740,3974,2465,2475,NA,2008-01-01
"297","Transportation and Warehousing","Payroll (in thousands)",214288,10625,13403,21713,44913,36060,30636,26888,30049,NA,2008-01-01
"298","Information","No. of Businesses",1252,657,186,158,132,60,36,7,10,6,2008-01-01
"299","Information","No. of Employees",38794,983,1208,2259,3954,4206,5411,2382,7208,11183,2008-01-01
"300","Information","Payroll (in thousands)",1142363,15484,18232,33815,64062,67842,101620,77058,159164,605086,2008-01-01
"301","Finance and Insurance","No. of Businesses",4564,2846,770,549,259,78,47,10,NA,NA,2008-01-01
"302","Finance and Insurance","No. of Employees",45483,3964,5153,7424,7576,5246,6920,4229,NA,NA,2008-01-01
"303","Finance and Insurance","Payroll (in thousands)",761450,61789,75214,102961,144449,101376,119113,71915,NA,NA,2008-01-01
"304","Real Estate and Rental and Leasing","No. of Businesses",4909,3628,675,362,159,46,32,NA,NA,NA,2008-01-01
"305","Real Estate and Rental and Leasing","No. of Employees",29620,5113,4387,4710,4701,3181,4663,NA,NA,NA,2008-01-01
"306","Real Estate and Rental and Leasing","Payroll (in thousands)",307690,51509,41738,47354,53517,38325,48593,NA,NA,NA,2008-01-01
"307","Services","No. of Businesses",57030,40703,6336,4532,3389,1189,641,159,50,31,2008-01-01
"308","Services","No. of Employees",574546,46317,42130,61824,100997,81268,96100,55750,37339,52821,2008-01-01
"309","Services","Payroll (in thousands)",5987256,421587,403154,563498,936216,767273,1084074,697281,464134,650040,2008-01-01
"310","Total","No. of Businesses",92478,62248,12133,8563,5838,2152,1128,268,101,47,2009-01-01
"311","Total","No. of Employees",1012377,74662,80691,116105,175825,148353,168803,91029,71881,85028,2009-01-01
"312","Total","Payroll (in thousands)",11799083,750899,782959,1107948,1825832,1581247,1970186,1203965,1030221,1545826,2009-01-01
"313","Agriculture","No. of Businesses",701,428,102,68,61,28,11,NA,NA,NA,2009-01-01
"314","Agriculture","No. of Employees",9441,617,678,923,1876,1961,1573,NA,NA,NA,2009-01-01
"315","Agriculture","Payroll (in thousands)",67651,4991,4493,6107,14747,14208,11833,NA,NA,NA,2009-01-01
"316","Utilities","No. of Businesses",83,34,9,11,9,6,8,NA,NA,NA,2009-01-01
"317","Utilities","No. of Employees",7288,57,57,154,304,407,1416,NA,NA,NA,2009-01-01
"318","Utilities","Payroll (in thousands)",161925,568,1379,3759,6540,8399,30643,NA,NA,NA,2009-01-01
"319","Construction and Mining","No. of Businesses",6705,4367,1008,667,450,141,59,9,4,NA,2009-01-01
"320","Construction and Mining","No. of Employees",58905,5113,6694,8992,13978,9585,8804,3072,2667,NA,2009-01-01
"321","Construction and Mining","Payroll (in thousands)",811181,58005,76026,110513,186877,139624,133555,54138,52443,NA,2009-01-01
"322","Manufacturing","No. of Businesses",3044,1360,517,432,387,174,119,30,13,12,2009-01-01
"323","Manufacturing","No. of Employees",92891,2162,3464,5961,11919,12187,17739,10072,9207,20180,2009-01-01
"324","Manufacturing","Payroll (in thousands)",1497523,25025,37219,66890,152112,170413,261174,139475,187667,457548,2009-01-01
"325","Wholesale Trade","No. of Businesses",4024,2452,710,439,275,96,41,8,3,NA,2009-01-01
"326","Wholesale Trade","No. of Employees",39936,3762,4685,5880,7949,6572,6328,2557,2203,NA,2009-01-01
"327","Wholesale Trade","Payroll (in thousands)",585335,52412,58919,76285,118734,97913,99450,39254,42368,NA,2009-01-01
"328","Retail Trade","No. of Businesses",8360,3710,1941,1313,820,342,185,NA,NA,NA,2009-01-01
"329","Retail Trade","No. of Employees",129987,6741,13093,17655,24794,24363,26790,NA,NA,NA,2009-01-01
"330","Retail Trade","Payroll (in thousands)",932011,53484,83709,111493,169162,186674,205773,NA,NA,NA,2009-01-01
"331","Transportation and Warehousing","No. of Businesses",1359,767,209,180,127,49,19,5,3,NA,2009-01-01
"332","Transportation and Warehousing","No. of Employees",19592,1144,1380,2371,3892,3464,2953,2020,2368,NA,2009-01-01
"333","Transportation and Warehousing","Payroll (in thousands)",193881,10824,11788,22223,38804,33763,22765,24904,28810,NA,2009-01-01
"334","Information","No. of Businesses",1231,677,163,157,125,52,36,6,10,5,2009-01-01
"335","Information","No. of Employees",36181,921,1103,2195,3946,3526,5330,2014,7297,9849,2009-01-01
"336","Information","Payroll (in thousands)",868908,18749,17854,33530,69890,47372,96595,50537,144608,389774,2009-01-01
"337","Finance and Insurance","No. of Businesses",4309,2694,694,531,267,72,35,NA,5,NA,2009-01-01
"338","Finance and Insurance","No. of Employees",43145,3781,4625,7076,7887,5017,4928,NA,3126,NA,2009-01-01
"339","Finance and Insurance","Payroll (in thousands)",698201,59212,61229,93401,146854,94378,88768,NA,57799,NA,2009-01-01
"340","Real Estate and Rental and Leasing","No. of Businesses",4640,3474,640,307,145,44,24,NA,NA,NA,2009-01-01
"341","Real Estate and Rental and Leasing","No. of Employees",26014,4778,4198,4033,4259,3117,3319,NA,NA,NA,2009-01-01
"342","Real Estate and Rental and Leasing","Payroll (in thousands)",276529,51101,40380,40761,48502,39823,34614,NA,NA,NA,2009-01-01
"343","Services","No. of Businesses",58022,42285,6140,4458,3172,1148,591,144,58,26,2009-01-01
"344","Services","No. of Employees",548997,45586,40714,60865,95021,78154,89623,49226,41446,48362,2009-01-01
"345","Services","Payroll (in thousands)",5705938,416527,389964,542989,873609,748679,985016,679726,494833,574596,2009-01-01
"346","Total","No. of Businesses",92412,62128,12202,8584,5800,2137,1135,276,101,49,2010-01-01
"347","Total","No. of Employees",1017709,78905,81049,116583,175651,147312,170981,93040,70606,83582,2010-01-01
"348","Total","Payroll (in thousands)",12156242,756388,801996,1145740,1829756,1597610,2129074,1292599,1106698,1496381,2010-01-01
"349","Agriculture","No. of Businesses",681,407,101,71,56,31,11,NA,NA,NA,2010-01-01
"350","Agriculture","No. of Employees",10244,636,678,1004,1759,2243,1623,NA,NA,NA,2010-01-01
"351","Agriculture","Payroll (in thousands)",72799,4812,4544,6418,13228,16014,13560,NA,NA,NA,2010-01-01
"352","Utilities","No. of Businesses",76,28,10,8,11,5,8,NA,NA,NA,2010-01-01
"353","Utilities","No. of Employees",7289,49,61,102,363,348,1450,NA,NA,NA,2010-01-01
"354","Utilities","Payroll (in thousands)",157573,529,1321,4475,10202,7038,27291,NA,NA,NA,2010-01-01
"355","Construction and Mining","No. of Businesses",6431,4204,951,654,427,130,52,10,3,NA,2010-01-01
"356","Construction and Mining","No. of Employees",56042,5519,6235,8841,13206,8991,7992,3126,2132,NA,2010-01-01
"357","Construction and Mining","Payroll (in thousands)",768110,58410,64704,107747,177785,135625,124847,58120,40873,NA,2010-01-01
"358","Manufacturing","No. of Businesses",2983,1322,486,433,395,175,115,32,12,13,2010-01-01
"359","Manufacturing","No. of Employees",92835,2265,3259,5936,12034,12343,16945,10973,8644,20436,2010-01-01
"360","Manufacturing","Payroll (in thousands)",1603183,23872,37900,69658,164088,176584,261702,174515,186033,508832,2010-01-01
"361","Wholesale Trade","No. of Businesses",3970,2387,721,461,266,81,45,6,3,NA,2010-01-01
"362","Wholesale Trade","No. of Employees",39513,3983,4790,6244,8057,5534,6838,1964,2103,NA,2010-01-01
"363","Wholesale Trade","Payroll (in thousands)",592815,50723,62408,80343,120368,90454,105083,41827,41609,NA,2010-01-01
"364","Retail Trade","No. of Businesses",8243,3609,1956,1315,783,348,186,NA,NA,NA,2010-01-01
"365","Retail Trade","No. of Employees",129714,7070,13117,17785,23671,24644,27289,NA,NA,NA,2010-01-01
"366","Retail Trade","Payroll (in thousands)",948047,56939,84680,114773,163548,189247,207096,NA,NA,NA,2010-01-01
"367","Transportation and Warehousing","No. of Businesses",1365,751,236,166,133,48,23,5,3,NA,2010-01-01
"368","Transportation and Warehousing","No. of Employees",20213,1163,1587,2198,4103,3306,3602,2071,2183,NA,2010-01-01
"369","Transportation and Warehousing","Payroll (in thousands)",201497,10191,13624,21411,39806,34560,28294,25641,27968,NA,2010-01-01
"370","Information","No. of Businesses",1202,666,172,146,117,51,37,NA,8,NA,2010-01-01
"371","Information","No. of Employees",24985,970,1138,2104,3708,3445,5306,NA,5568,NA,2010-01-01
"372","Information","Payroll (in thousands)",514742,15885,18882,36478,56032,57056,99054,NA,110101,NA,2010-01-01
"373","Finance and Insurance","No. of Businesses",4140,2564,675,533,246,78,30,8,NA,NA,2010-01-01
"374","Finance and Insurance","No. of Employees",41216,3925,4517,7219,7149,5471,4291,2846,NA,NA,2010-01-01
"375","Finance and Insurance","Payroll (in thousands)",698400,55695,65105,103062,131449,108697,78932,42645,NA,NA,2010-01-01
"376","Real Estate and Rental and Leasing","No. of Businesses",4465,3305,647,295,141,47,27,NA,NA,NA,2010-01-01
"377","Real Estate and Rental and Leasing","No. of Employees",25797,4863,4252,3795,4122,3307,3950,NA,NA,NA,2010-01-01
"378","Real Estate and Rental and Leasing","Payroll (in thousands)",278469,51970,40767,39436,48771,39191,46878,NA,NA,NA,2010-01-01
"379","Services","No. of Businesses",58856,42885,6247,4502,3225,1143,601,159,64,30,2010-01-01
"380","Services","No. of Employees",569861,48462,41415,61355,97479,77680,91695,53801,44143,53831,2010-01-01
"381","Services","Payroll (in thousands)",6320607,427361,408060,561941,904478,743145,1136338,768059,615415,755811,2010-01-01
"382","Total","No. of Businesses",92730,61987,12311,8752,5875,2214,1153,289,100,49,2011-01-01
"383","Total","No. of Employees",1030120,76015,81712,118610,177825,152155,172940,96651,69094,85118,2011-01-01
"384","Total","Payroll (in thousands)",13021106,789660,839064,1210699,1977112,1742006,2252757,1410044,1211892,1587872,2011-01-01
"385","Agriculture","No. of Businesses",665,401,89,73,56,30,13,NA,NA,NA,2011-01-01
"386","Agriculture","No. of Employees",9557,604,588,993,1703,2153,1905,NA,NA,NA,2011-01-01
"387","Agriculture","Payroll (in thousands)",73688,4625,4274,7135,14066,16857,14793,NA,NA,NA,2011-01-01
"388","Utilities","No. of Businesses",82,32,14,9,8,5,8,NA,NA,NA,2011-01-01
"389","Utilities","No. of Employees",7387,52,84,125,270,406,1462,NA,NA,NA,2011-01-01
"390","Utilities","Payroll (in thousands)",184889,807,1835,3294,6870,10706,36214,NA,NA,NA,2011-01-01
"391","Construction and Mining","No. of Businesses",5980,3807,881,649,434,148,47,11,3,NA,2011-01-01
"392","Construction and Mining","No. of Employees",56253,5381,5817,8725,12960,10202,6935,4015,2218,NA,2011-01-01
"393","Construction and Mining","Payroll (in thousands)",800338,61663,65316,105745,177621,147371,113561,82008,47052,NA,2011-01-01
"394","Manufacturing","No. of Businesses",2895,1178,526,439,412,167,119,30,12,12,2011-01-01
"395","Manufacturing","No. of Employees",93189,2063,3510,5994,12827,11846,18294,10444,8277,19934,2011-01-01
"396","Manufacturing","Payroll (in thousands)",1678693,31818,39470,71159,183261,185832,286203,174438,195655,510856,2011-01-01
"397","Wholesale Trade","No. of Businesses",3854,2249,731,470,260,87,46,7,4,NA,2011-01-01
"398","Wholesale Trade","No. of Employees",41128,3832,4928,6377,7788,5993,6963,2308,2939,NA,2011-01-01
"399","Wholesale Trade","Payroll (in thousands)",647866,53003,65527,89064,114627,99521,107884,58096,60144,NA,2011-01-01
"400","Retail Trade","No. of Businesses",8088,3356,1982,1336,805,375,181,NA,NA,NA,2011-01-01
"401","Retail Trade","No. of Employees",133290,6777,13243,18088,24095,26187,26178,NA,NA,NA,2011-01-01
"402","Retail Trade","Payroll (in thousands)",1015207,53867,86315,122693,168509,213104,219131,NA,NA,NA,2011-01-01
"403","Transportation and Warehousing","No. of Businesses",1342,719,232,184,130,46,NA,4,NA,NA,2011-01-01
"404","Transportation and Warehousing","No. of Employees",18748,1218,1557,2446,4137,3043,NA,1710,NA,NA,2011-01-01
"405","Transportation and Warehousing","Payroll (in thousands)",189187,11675,13583,25661,42779,33992,NA,18471,NA,NA,2011-01-01
"406","Information","No. of Businesses",1154,613,179,134,131,54,29,NA,8,NA,2011-01-01
"407","Information","No. of Employees",24275,889,1188,1950,4101,3579,4312,NA,5324,NA,2011-01-01
"408","Information","Payroll (in thousands)",508694,14791,19954,31797,72131,63753,86785,NA,108653,NA,2011-01-01
"409","Finance and Insurance","No. of Businesses",3967,2422,658,532,234,72,33,9,4,3,2011-01-01
"410","Finance and Insurance","No. of Employees",42064,3866,4423,7205,6804,4999,4904,2969,2400,4494,2011-01-01
"411","Finance and Insurance","Payroll (in thousands)",735750,59270,65806,109725,134216,101941,94871,51148,51334,67438,2011-01-01
"412","Real Estate and Rental and Leasing","No. of Businesses",4390,3232,643,293,147,45,NA,NA,NA,NA,2011-01-01
"413","Real Estate and Rental and Leasing","No. of Employees",25412,4880,4145,3827,4291,3242,NA,NA,NA,NA,2011-01-01
"414","Real Estate and Rental and Leasing","Payroll (in thousands)",295193,53990,44693,41751,57915,35359,NA,NA,NA,NA,2011-01-01
"415","Services","No. of Businesses",60313,43978,6376,4633,3258,1185,623,164,66,30,2011-01-01
"416","Services","No. of Employees",578817,46453,42229,62880,98849,80505,93968,54603,45440,53890,2011-01-01
"417","Services","Payroll (in thousands)",6891602,444150,432290,602674,1005117,833570,1206533,819935,724553,822780,2011-01-01
"418","Total","No. of Businesses",92220,60326,12791,8978,6210,2313,1149,302,104,47,2012-01-01
"419","Total","No. of Employees",1064017,81434,84717,121801,186652,158274,174411,102696,72725,81307,2012-01-01
"420","Total","Payroll (in thousands)",13272436,777925,855226,1238766,1992378,1773171,2260431,1483021,1341418,1550100,2012-01-01
"421","Agriculture","No. of Businesses",640,385,85,68,59,27,12,NA,NA,NA,2012-01-01
"422","Agriculture","No. of Employees",10005,635,551,932,1808,1890,1660,NA,NA,NA,2012-01-01
"423","Agriculture","Payroll (in thousands)",74204,5245,3659,6830,13979,14887,14130,NA,NA,NA,2012-01-01
"424","Utilities","No. of Businesses",89,31,17,9,13,5,NA,5,NA,NA,2012-01-01
"425","Utilities","No. of Employees",7491,63,115,136,448,365,NA,1447,NA,NA,2012-01-01
"426","Utilities","Payroll (in thousands)",176474,803,1876,3949,11076,6988,NA,32280,NA,NA,2012-01-01
"427","Construction and Mining","No. of Businesses",5782,3560,958,595,461,137,58,NA,NA,NA,2012-01-01
"428","Construction and Mining","No. of Employees",57654,5378,6343,8113,13849,9304,8921,NA,NA,NA,2012-01-01
"429","Construction and Mining","Payroll (in thousands)",776141,58061,64600,98280,181490,145194,124077,NA,NA,NA,2012-01-01
"430","Manufacturing","No. of Businesses",2889,1171,506,435,432,178,113,32,10,12,2012-01-01
"431","Manufacturing","No. of Employees",93939,2156,3459,6022,13256,12439,17730,11768,7240,19869,2012-01-01
"432","Manufacturing","Payroll (in thousands)",1829095,25922,38660,68814,186496,180559,287017,179547,307582,554497,2012-01-01
"433","Wholesale Trade","No. of Businesses",3919,2243,742,509,265,93,51,12,4,NA,2012-01-01
"434","Wholesale Trade","No. of Employees",44133,3948,4888,6766,7779,6392,7479,3779,3102,NA,2012-01-01
"435","Wholesale Trade","Payroll (in thousands)",709463,53322,73434,92665,113867,112683,127943,75207,60342,NA,2012-01-01
"436","Retail Trade","No. of Businesses",8074,3277,1957,1344,870,401,173,NA,NA,NA,2012-01-01
"437","Retail Trade","No. of Employees",134903,6753,13059,18026,25978,27971,25928,NA,NA,NA,2012-01-01
"438","Retail Trade","Payroll (in thousands)",1020740,54495,84021,116996,175696,218096,223312,NA,NA,NA,2012-01-01
"439","Transportation and Warehousing","No. of Businesses",1365,696,257,192,140,51,20,NA,NA,NA,2012-01-01
"440","Transportation and Warehousing","No. of Employees",20210,1220,1718,2507,4290,3483,2999,NA,NA,NA,2012-01-01
"441","Transportation and Warehousing","Payroll (in thousands)",207779,11760,14712,23060,46121,35913,27658,NA,NA,NA,2012-01-01
"442","Information","No. of Businesses",1148,604,169,150,118,63,31,5,NA,NA,2012-01-01
"443","Information","No. of Employees",24462,938,1114,2098,3599,4068,4919,1780,NA,NA,2012-01-01
"444","Information","Payroll (in thousands)",503970,19327,19133,36501,71803,63453,88706,26304,NA,NA,2012-01-01
"445","Finance and Insurance","No. of Businesses",3941,2307,743,522,243,74,34,10,5,3,2012-01-01
"446","Finance and Insurance","No. of Employees",44161,3792,4971,7056,7103,5064,5267,3649,2836,4423,2012-01-01
"447","Finance and Insurance","Payroll (in thousands)",801409,56985,73090,109695,148283,110159,106863,73083,49725,73526,2012-01-01
"448","Real Estate and Rental and Leasing","No. of Businesses",4427,3213,663,317,158,48,NA,NA,NA,NA,2012-01-01
"449","Real Estate and Rental and Leasing","No. of Employees",26138,5015,4293,4210,4713,3401,NA,NA,NA,NA,2012-01-01
"450","Real Estate and Rental and Leasing","Payroll (in thousands)",300818,55754,45231,46927,62363,38751,NA,NA,NA,NA,2012-01-01
"451","Services","No. of Businesses",59946,42839,6694,4837,3451,1236,624,164,73,28,2012-01-01
"452","Services","No. of Employees",600921,51536,44206,65935,103829,83897,94405,55353,50767,50993,2012-01-01
"453","Services","Payroll (in thousands)",6872344,436251,436810,635049,981203,846487,1185535,836948,778658,735403,2012-01-01
"454","Total","No. of Businesses",90795,58114,13112,9138,6406,2360,1213,296,108,48,2013-01-01
"455","Total","No. of Employees",1091951,84446,86879,123942,192336,162128,183959,98838,74623,84800,2013-01-01
"456","Total","Payroll (in thousands)",14005317,831862,884242,1277855,2041654,1995706,2490835,1521857,1420824,1540481,2013-01-01
"457","Agriculture","No. of Businesses",643,379,98,66,56,30,10,NA,NA,NA,2013-01-01
"458","Agriculture","No. of Employees",10197,613,665,909,1756,2078,1396,NA,NA,NA,2013-01-01
"459","Agriculture","Payroll (in thousands)",79519,4677,5016,6988,14671,16822,12808,NA,NA,NA,2013-01-01
"460","Utilities","No. of Businesses",91,34,13,12,12,7,6,NA,NA,NA,2013-01-01
"461","Utilities","No. of Employees",6549,58,83,170,383,468,1087,NA,NA,NA,2013-01-01
"462","Utilities","Payroll (in thousands)",189998,836,1552,3578,9294,11078,28030,NA,NA,NA,2013-01-01
"463","Construction and Mining","No. of Businesses",5967,3600,990,689,453,144,77,10,NA,NA,2013-01-01
"464","Construction and Mining","No. of Employees",62192,5749,6506,9415,13461,9914,11033,3190,NA,NA,2013-01-01
"465","Construction and Mining","Payroll (in thousands)",850004,63315,65789,115407,182909,144263,158783,63031,NA,NA,2013-01-01
"466","Manufacturing","No. of Businesses",2933,1221,505,442,418,184,110,27,15,11,2013-01-01
"467","Manufacturing","No. of Employees",94397,2237,3411,6049,12759,12873,17536,9520,10260,19752,2013-01-01
"468","Manufacturing","Payroll (in thousands)",1665129,26958,40828,67984,173639,183891,306057,151116,220898,493758,2013-01-01
"469","Wholesale Trade","No. of Businesses",3980,2246,783,505,289,92,50,12,3,NA,2013-01-01
"470","Wholesale Trade","No. of Employees",44272,3975,5168,6758,8598,6336,7419,3923,2095,NA,2013-01-01
"471","Wholesale Trade","Payroll (in thousands)",713731,55442,68878,93628,124403,105575,145249,76533,44024,NA,2013-01-01
"472","Retail Trade","No. of Businesses",8283,3296,2054,1390,896,400,193,NA,NA,NA,2013-01-01
"473","Retail Trade","No. of Employees",139706,6714,13800,18634,26570,27939,28418,NA,NA,NA,2013-01-01
"474","Retail Trade","Payroll (in thousands)",1047177,54151,90612,119337,174000,222449,238060,NA,NA,NA,2013-01-01
"475","Transportation and Warehousing","No. of Businesses",1396,704,278,205,133,49,NA,6,NA,NA,2013-01-01
"476","Transportation and Warehousing","No. of Employees",19944,1253,1824,2779,4291,3388,NA,2262,NA,NA,2013-01-01
"477","Transportation and Warehousing","Payroll (in thousands)",205306,12759,16889,26429,45097,37320,NA,21559,NA,NA,2013-01-01
"478","Information","No. of Businesses",1135,605,180,132,115,61,26,9,NA,NA,2013-01-01
"479","Information","No. of Employees",23849,909,1182,1836,3462,3986,3769,3140,NA,NA,2013-01-01
"480","Information","Payroll (in thousands)",536396,15920,18870,33987,65884,68324,71344,49538,NA,NA,2013-01-01
"481","Finance and Insurance","No. of Businesses",4026,2407,730,524,235,80,29,15,NA,NA,2013-01-01
"482","Finance and Insurance","No. of Employees",44298,3957,4850,6933,6891,5620,4371,5307,NA,NA,2013-01-01
"483","Finance and Insurance","Payroll (in thousands)",884412,64751,71609,111419,148324,125265,85818,113502,NA,NA,2013-01-01
"484","Real Estate and Rental and Leasing","No. of Businesses",4672,3439,678,320,160,48,NA,NA,NA,NA,2013-01-01
"485","Real Estate and Rental and Leasing","No. of Employees",26792,5442,4374,4215,4795,3456,NA,NA,NA,NA,2013-01-01
"486","Real Estate and Rental and Leasing","Payroll (in thousands)",336341,66098,46996,51680,62016,43381,NA,NA,NA,NA,2013-01-01
"487","Services","No. of Businesses",57669,40183,6803,4853,3639,1265,668,156,72,30,2013-01-01
"488","Services","No. of Employees",619755,53539,45016,66244,109370,86070,102287,52308,49831,55090,2013-01-01
"489","Services","Payroll (in thousands)",7497304,466956,457202,647418,1041417,1037339,1356511,882118,848270,760073,2013-01-01
"490","Total","No. of Businesses",95466,62204,13159,9353,6662,2385,1241,312,98,52,2014-01-01
"491","Total","No. of Employees",1118266,86454,87650,126795,201422,164253,187919,104784,68766,90223,2014-01-01
"492","Total","Payroll (in thousands)",14416107,867722,918167,1326567,2199605,2007398,2535506,1571408,1251622,1738110,2014-01-01
"493","Agriculture","No. of Businesses",653,396,99,69,51,23,11,NA,NA,NA,2014-01-01
"494","Agriculture","No. of Employees",10720,598,675,1016,1523,1648,1502,NA,NA,NA,2014-01-01
"495","Agriculture","Payroll (in thousands)",80740,4680,5031,7766,13536,14607,13507,NA,NA,NA,2014-01-01
"496","Utilities","No. of Businesses",89,32,16,11,11,6,NA,4,NA,NA,2014-01-01
"497","Utilities","No. of Employees",5573,52,104,151,380,403,NA,1132,NA,NA,2014-01-01
"498","Utilities","Payroll (in thousands)",130497,649,1785,3334,9791,9462,NA,24869,NA,NA,2014-01-01
"499","Construction and Mining","No. of Businesses",6369,3902,1025,696,499,162,69,13,NA,NA,2014-01-01
"500","Construction and Mining","No. of Employees",64943,5786,6759,9375,15058,11415,10027,4331,NA,NA,2014-01-01
"501","Construction and Mining","Payroll (in thousands)",906405,64695,71067,112323,211669,166971,156221,78714,NA,NA,2014-01-01
"502","Manufacturing","No. of Businesses",3026,1280,505,448,445,172,123,28,14,11,2014-01-01
"503","Manufacturing","No. of Employees",96828,2237,3406,6164,13577,12023,19529,9837,10170,19885,2014-01-01
"504","Manufacturing","Payroll (in thousands)",1787544,28897,41053,72316,184659,183743,324760,201794,248197,502125,2014-01-01
"505","Wholesale Trade","No. of Businesses",4040,2287,806,494,298,95,49,NA,NA,NA,2014-01-01
"506","Wholesale Trade","No. of Employees",43329,3849,5389,6706,8916,6581,7703,NA,NA,NA,2014-01-01
"507","Wholesale Trade","Payroll (in thousands)",692514,56950,73043,95351,139094,112479,143848,NA,NA,NA,2014-01-01
"508","Retail Trade","No. of Businesses",8550,3536,2025,1444,894,400,195,NA,NA,NA,2014-01-01
"509","Retail Trade","No. of Employees",142121,6935,13616,19469,26929,28337,28588,NA,NA,NA,2014-01-01
"510","Retail Trade","Payroll (in thousands)",1097164,56764,93620,126546,178683,241110,251009,NA,NA,NA,2014-01-01
"511","Transportation and Warehousing","No. of Businesses",1435,720,275,220,138,52,20,NA,NA,NA,2014-01-01
"512","Transportation and Warehousing","No. of Employees",21029,1213,1820,2906,4324,3495,2938,NA,NA,NA,2014-01-01
"513","Transportation and Warehousing","Payroll (in thousands)",218231,12284,16847,28837,46031,38771,28166,NA,NA,NA,2014-01-01
"514","Information","No. of Businesses",1189,648,172,135,122,69,30,7,NA,NA,2014-01-01
"515","Information","No. of Employees",24303,919,1160,1868,3749,4525,4509,2367,NA,NA,2014-01-01
"516","Information","Payroll (in thousands)",556066,16452,19168,35568,69500,83479,100995,60539,NA,NA,2014-01-01
"517","Finance and Insurance","No. of Businesses",4268,2658,750,509,232,71,33,10,NA,NA,2014-01-01
